Wall time,Step,Value
1744826428.0536416,142,451.4602966308594
1744827064.2778413,284,411.5614929199219
1744827631.7747722,426,352.24560546875
1744828146.5998745,568,320.59698486328125
1744828725.8083608,710,388.14678955078125
1744829332.7384186,852,389.85650634765625
1744829838.6562169,994,317.9631042480469
1744830343.3153322,1136,318.9808044433594
1744830847.001533,1278,316.6942138671875
1744831361.1462061,1420,328.0237121582031
1744831877.8160608,1562,327.61419677734375
1744832393.7697175,1704,328.90350341796875
1744832909.2188694,1846,326.3739013671875
1744833422.6324255,1988,326.7041931152344
1744833933.8682404,2130,327.29400634765625
1744834444.1807725,2272,328.68780517578125
1744834950.3424525,2414,321.7493896484375
1744835449.6347601,2556,318.5805969238281
1744835946.5247278,2698,315.5082092285156
1744836445.41807,2840,318.8900146484375
1744836945.6159377,2982,317.9898986816406
1744837441.122989,3124,314.8268127441406
1744837944.2663507,3266,319.5946044921875
1744838459.4189591,3408,333.7463073730469
1744839269.7833393,3550,622.7164916992188
1744840545.580336,3692,724.8726196289062
1744841401.7549024,3834,321.5360107421875
1744841913.1997948,3976,326.5465087890625
