Wall time,Step,Value
1745141921.4004416,25,4.800000169780105e-06
1745141947.556009,50,9.800000043469481e-06
1745141981.9315743,75,9.93905541690765e-06
1745142014.6188025,100,9.875571777229197e-06
1745142044.7013452,125,9.812087228056043e-06
1745142507.9833019,150,9.748603588377591e-06
1745142535.394655,175,9.685119039204437e-06
1745142566.3175335,200,9.621635399525985e-06
1745142597.264256,225,9.558151759847533e-06
1745142630.2233326,250,9.494667210674379e-06
1745142660.6583266,275,9.431183570995927e-06
1745143103.1150336,300,9.367699021822773e-06
1745143133.576412,325,9.30421538214432e-06
1745143164.6388185,350,9.240731742465869e-06
1745143194.9845264,375,9.177247193292715e-06
1745143225.3703463,400,9.113763553614262e-06
1745143255.864938,425,9.050279004441109e-06
1745143723.65035,450,8.986795364762656e-06
1745143748.2532656,475,8.923311725084204e-06
1745143772.8554208,500,8.85982717591105e-06
1745143797.616878,525,8.796343536232598e-06
1745143827.9759407,550,8.732858987059444e-06
1745144306.588453,575,8.669375347380992e-06
1745144337.264153,600,8.60589170770254e-06
1745144367.7457159,625,8.542407158529386e-06
1745144398.296062,650,8.478923518850934e-06
1745144428.8394597,675,8.41543896967778e-06
1745144459.7670608,700,8.351955329999328e-06
1745144933.012236,725,8.288471690320875e-06
1745144963.9565985,750,8.224987141147722e-06
1745144995.1577573,775,8.16150350146927e-06
1745145025.6766486,800,8.098018952296115e-06
1745145056.375247,825,8.034535312617663e-06
1745145087.1432223,850,7.973590982146561e-06
1745145554.001368,875,7.910106432973407e-06
1745145584.3724198,900,7.846622793294955e-06
1745145613.9179964,925,7.783138244121801e-06
1745145642.7013988,950,7.719654604443349e-06
1745145672.345919,975,7.656170964764897e-06
1745146089.1637788,1000,7.592686870339094e-06
1745146120.7446384,1025,7.529202775913291e-06
1745146152.291402,1050,7.465718681487488e-06
1745146183.8583968,1075,7.402234587061685e-06
1745146215.1058002,1100,7.3387504926358815e-06
1745146246.5381205,1125,7.275266852957429e-06
1745146731.0295632,1150,7.211782758531626e-06
1745146756.254753,1175,7.148298664105823e-06
1745146781.2607062,1200,7.08481456968002e-06
1745146806.192934,1225,7.021330475254217e-06
1745146831.2364092,1250,6.957846835575765e-06
1745146856.063104,1275,6.894362741149962e-06
1745147219.8037345,1300,6.830878646724159e-06
1745147244.9597926,1325,6.767394552298356e-06
1745147270.2190802,1350,6.703910457872553e-06
1745147295.165913,1375,6.640426818194101e-06
1745147320.1488318,1400,6.576942723768298e-06
1745147679.1709528,1425,6.5134586293424945e-06
1745147704.1774826,1450,6.4499745349166915e-06
1745147729.1399689,1475,6.3864904404908884e-06
1745147754.1051342,1500,6.323006800812436e-06
1745147779.138258,1525,6.259522706386633e-06
1745147804.1702466,1550,6.19603861196083e-06
1745148162.2392354,1575,6.132554517535027e-06
1745148187.6894007,1600,6.069070423109224e-06
1745148212.9406383,1625,6.005586783430772e-06
1745148238.0654364,1650,5.942102689004969e-06
1745148263.0891607,1675,5.878618594579166e-06
1745148288.0643206,1700,5.815134500153363e-06
1745148718.2299676,1725,5.75165040572756e-06
1745148743.0496547,1750,5.6881667660491075e-06
1745148767.813898,1775,5.6246826716233045e-06
1745148792.5019155,1800,5.5611985771975014e-06
1745148817.3066857,1825,5.497714482771698e-06
1745149255.5410452,1850,5.434230388345895e-06
1745149286.9652126,1875,5.370746748667443e-06
1745149318.3518083,1900,5.30726265424164e-06
1745149349.8613918,1925,5.243778559815837e-06
1745149381.370737,1950,5.180294465390034e-06
1745149413.2528007,1975,5.116810370964231e-06
1745149903.6007323,2000,5.053326731285779e-06
1745149934.7179825,2025,4.989842636859976e-06
1745149965.3290222,2050,4.926358542434173e-06
1745149996.1994567,2075,4.86287444800837e-06
1745150026.9148178,2100,4.799390353582567e-06
1745150057.643189,2125,4.7359067139041144e-06
1745150542.6340277,2150,4.672422619478311e-06
1745150573.51169,2175,4.608938525052508e-06
1745150604.6084309,2200,4.545454430626705e-06
1745150635.651953,2225,4.481970336200902e-06
1745150666.9614525,2250,4.41848669652245e-06
1745151167.4134781,2275,4.355002602096647e-06
1745151199.2633595,2300,4.291518507670844e-06
1745151230.431708,2325,4.228034413245041e-06
1745151260.5129,2350,4.164550318819238e-06
1745151284.7192612,2375,4.101066679140786e-06
1745151308.903479,2400,4.037582584714983e-06
1745151661.2895682,2425,3.97409849028918e-06
1745151685.6021032,2450,3.9106143958633766e-06
1745151709.90633,2475,3.8471303014375735e-06
1745151734.2809339,2500,3.783646434385446e-06
1745151759.976824,2525,3.7201625673333183e-06
1745151784.3770106,2550,3.6566784729075152e-06
1745152184.5533214,2575,3.5931946058553876e-06
1745152214.8868823,2600,3.5297105114295846e-06
1745152245.0750902,2625,3.4662264170037815e-06
1745152275.3667367,2650,3.402742549951654e-06
1745152308.0575206,2675,3.339258455525851e-06
1745152780.863391,2700,3.2757745884737233e-06
1745152811.1874077,2725,3.2122904940479202e-06
1745152843.4622154,2750,3.148806399622117e-06
1745152874.0883515,2775,3.0853225325699896e-06
1745152905.1091743,2800,3.0218384381441865e-06
1745152935.651068,2825,2.958354571092059e-06
1745153414.3799295,2850,2.894870476666256e-06
1745153445.2483277,2875,2.831386382240453e-06
1745153478.7197173,2900,2.767902515188325e-06
1745153509.3941627,2925,2.704418420762522e-06
1745153543.164272,2950,2.6409345537103945e-06
1745153573.4490833,2975,2.5774504592845915e-06
1745154048.6455548,3000,2.513966592232464e-06
1745154079.789172,3025,2.450482497806661e-06
1745154110.417109,3050,2.3869984033808578e-06
1745154141.0222387,3075,2.32351453632873e-06
1745154171.8657575,3100,2.260030441902927e-06
1745154650.2926588,3125,2.1965465748507995e-06
1745154681.0573514,3150,2.1330624804249965e-06
1745154711.4307075,3175,2.0695783859991934e-06
1745154742.5741172,3200,2.006094518947066e-06
1745154773.2380028,3225,1.9426104245212628e-06
1745154803.9730399,3250,1.8791264437822974e-06
1745155277.262981,3275,1.815642463043332e-06
1745155307.813088,3300,1.7521584823043668e-06
1745155338.3633935,3325,1.6886745015654014e-06
1745155368.9827182,3350,1.6251904071395984e-06
1745155399.608185,3375,1.561706426400633e-06
1745155430.2637413,3400,1.4982224456616677e-06
1745155909.0451336,3425,1.4347384649227024e-06
1745155939.652431,3450,1.371254484183737e-06
1745155970.14305,3475,1.307770389757934e-06
1745156000.8338299,3500,1.2442864090189687e-06
1745156031.3506632,3525,1.1808024282800034e-06
1745156062.4379895,3550,1.117318447541038e-06
1745156535.3654985,3575,1.0538344668020727e-06
1745156566.0799978,3600,9.903504860631074e-07
1745156596.7887611,3625,9.268664484807232e-07
1745156627.4500842,3650,8.63382410898339e-07
1745156658.230845,3675,7.998984301593737e-07
1745157135.117888,3700,7.364144494204083e-07
1745157166.9911647,3725,6.729304118380242e-07
1745157197.7602744,3750,6.094464310990588e-07
1745157228.459169,3775,5.459623935166746e-07
1745157259.1902523,3800,4.824784127777093e-07
1745157286.8902705,3825,4.1899440361703455e-07
1745157642.2251139,3850,3.555104228780692e-07
1745157667.1286707,3875,2.9202641371739446e-07
1745157692.0927362,3900,2.285424045567197e-07
1745157717.0525756,3925,1.6505840960689966e-07
1745157741.9551036,3950,1.015744004462249e-07
1745157766.8530781,3975,4.0629760889032696e-08
