Wall time,Step,Value
1744825803.4175007,25,4.999999873689376e-06
1744825841.3643286,50,9.999999747378752e-06
1744825879.4686892,75,9.9365161077003e-06
1744825912.0937872,100,9.873031558527146e-06
1744825949.0424964,125,9.809547918848693e-06
1744826441.0509286,150,9.748603588377591e-06
1744826480.5536811,175,9.685119039204437e-06
1744826519.985234,200,9.621635399525985e-06
1744826560.1277363,225,9.558151759847533e-06
1744826599.5541081,250,9.494667210674379e-06
1744826638.7936337,275,9.431183570995927e-06
1744827091.8613412,300,9.367699021822773e-06
1744827128.4459238,325,9.30421538214432e-06
1744827167.914699,350,9.240731742465869e-06
1744827206.9270945,375,9.177247193292715e-06
1744827244.1391737,400,9.113763553614262e-06
1744827278.220844,425,9.050279004441109e-06
1744827669.7691529,450,8.986795364762656e-06
1744827704.365599,475,8.925851034291554e-06
1744827736.9314742,500,8.8623664851184e-06
1744827769.7011206,525,8.798882845439948e-06
1744827802.4489198,550,8.735398296266794e-06
1744828157.2285082,575,8.671914656588342e-06
1744828189.8340497,600,8.61097032611724e-06
1744828222.5667083,625,8.547485776944086e-06
1744828255.231042,650,8.484002137265634e-06
1744828287.8192017,675,8.42051758809248e-06
1744828324.4208553,700,8.357033948414028e-06
1744828748.9517558,725,8.293550308735576e-06
1744828788.0720794,750,8.230065759562422e-06
1744828827.3657138,775,8.16658211988397e-06
1744828866.1917167,800,8.103097570710815e-06
1744828904.0961723,825,8.039613931032363e-06
1744828939.8039796,850,7.976130291353911e-06
1744829364.965419,875,7.912645742180757e-06
1744829397.6801322,900,7.849162102502305e-06
1744829430.438749,925,7.785678462823853e-06
1744829463.1986737,950,7.722193913650699e-06
1744829495.7772782,975,7.658710273972247e-06
1744829846.5545938,1000,7.595226179546444e-06
1744829879.1443264,1025,7.531742085120641e-06
1744829912.028628,1050,7.468257990694838e-06
1744829944.8076963,1075,7.404773896269035e-06
1744829977.451116,1100,7.3412898018432315e-06
1744830010.0873468,1125,7.277806162164779e-06
1744830363.3765483,1150,7.214322067738976e-06
1744830395.8689106,1175,7.150837973313173e-06
1744830428.4896266,1200,7.08735387888737e-06
1744830461.107776,1225,7.023869784461567e-06
1744830493.8674974,1250,6.960386144783115e-06
1744830526.4043467,1275,6.896902050357312e-06
1744830875.567633,1300,6.833417955931509e-06
1744830908.1754012,1325,6.769933861505706e-06
1744830941.084598,1350,6.706449767079903e-06
1744830973.9037626,1375,6.642966127401451e-06
1744831006.7140343,1400,6.579482032975648e-06
1744831370.125498,1425,6.5159979385498445e-06
1744831402.9593792,1450,6.4525138441240415e-06
1744831435.8527231,1475,6.3890297496982384e-06
1744831468.655458,1500,6.325546110019786e-06
1744831501.4805646,1525,6.262062015593983e-06
1744831534.5428264,1550,6.19857792116818e-06
1744831894.982651,1575,6.135093826742377e-06
1744831927.9121346,1600,6.071609732316574e-06
1744831960.8774443,1625,6.008126092638122e-06
1744831993.8096523,1650,5.944641998212319e-06
1744832026.6025686,1675,5.881157903786516e-06
1744832059.55965,1700,5.817673809360713e-06
1744832423.6035542,1725,5.754190169682261e-06
1744832456.5424886,1750,5.6907060752564576e-06
1744832489.4105763,1775,5.6272219808306545e-06
1744832522.2602763,1800,5.5637378864048515e-06
1744832555.208816,1825,5.500253791979048e-06
1744832914.503438,1850,5.436770152300596e-06
1744832947.2448893,1875,5.373286057874793e-06
1744832980.170051,1900,5.30980196344899e-06
1744833013.054559,1925,5.246317869023187e-06
1744833045.970706,1950,5.182833774597384e-06
1744833078.8716345,1975,5.119350134918932e-06
1744833440.381109,2000,5.055866040493129e-06
1744833472.1193407,2025,4.992381946067326e-06
1744833503.905467,2050,4.928897851641523e-06
1744833535.9155676,2075,4.86541375721572e-06
1744833568.2220383,2100,4.8019301175372675e-06
1744833600.118422,2125,4.7384460231114645e-06
1744833959.3534808,2150,4.674961928685661e-06
1744833991.3096182,2175,4.611477834259858e-06
