Wall time,Step,Value
1744805655.033003,25,4.999999873689376e-06
1744805669.826603,50,9.999999747378752e-06
1744805684.481702,75,9.9365161077003e-06
1744805699.3540711,100,9.873031558527146e-06
1744805714.217162,125,9.809547918848693e-06
1744805963.3651042,150,9.746064279170241e-06
1744805979.2102602,175,9.682579729997087e-06
1744805994.9452085,200,9.619096090318635e-06
1744806010.268854,225,9.555611541145481e-06
1744806025.5234509,250,9.494667210674379e-06
1744806040.7682385,275,9.431183570995927e-06
1744806282.215382,300,9.367699021822773e-06
1744806297.3430254,325,9.30421538214432e-06
1744806312.6262875,350,9.240731742465869e-06
1744806328.1403685,375,9.177247193292715e-06
1744806343.9541283,400,9.113763553614262e-06
1744806359.4571664,425,9.050279004441109e-06
1744806598.2485375,450,8.986795364762656e-06
1744806613.256132,475,8.923311725084204e-06
1744806628.301293,500,8.85982717591105e-06
1744806643.486737,525,8.796343536232598e-06
1744806658.601644,550,8.732858987059444e-06
1744806897.8840754,575,8.669375347380992e-06
1744806912.8229673,600,8.60843101690989e-06
1744806928.3614612,625,8.544946467736736e-06
1744806944.1072123,650,8.481462828058284e-06
1744806959.3294547,675,8.41797827888513e-06
1744806974.4873054,700,8.354494639206678e-06
1744807217.518899,725,8.291010999528226e-06
1744807232.571158,750,8.227526450355072e-06
1744807247.4913433,775,8.16404281067662e-06
1744807262.619132,800,8.100558261503465e-06
1744807277.6907573,825,8.037074621825013e-06
1744807293.7135537,850,7.973590982146561e-06
1744807536.7871244,875,7.910106432973407e-06
1744807551.7792797,900,7.846622793294955e-06
1744807566.8058426,925,7.783138244121801e-06
1744807582.1262112,950,7.719654604443349e-06
1744807597.1359985,975,7.656170964764897e-06
1744807836.6899147,1000,7.592686870339094e-06
1744807851.8181212,1025,7.529202775913291e-06
1744807866.8766718,1050,7.465718681487488e-06
1744807881.804775,1075,7.402234587061685e-06
1744807896.8259816,1100,7.3387504926358815e-06
1744807912.3748937,1125,7.275266852957429e-06
1744808152.457274,1150,7.211782758531626e-06
1744808167.6203065,1175,7.148298664105823e-06
1744808182.8136692,1200,7.08481456968002e-06
1744808197.856692,1225,7.021330475254217e-06
1744808212.8569908,1250,6.957846835575765e-06
1744808227.955043,1275,6.894362741149962e-06
1744808470.9756029,1300,6.830878646724159e-06
1744808486.683715,1325,6.767394552298356e-06
1744808502.7581153,1350,6.703910457872553e-06
1744808518.323679,1375,6.640426818194101e-06
1744808533.471167,1400,6.576942723768298e-06
1744808778.9308991,1425,6.5134586293424945e-06
1744808794.1907034,1450,6.4499745349166915e-06
1744808809.3860934,1475,6.3864904404908884e-06
1744808824.839495,1500,6.323006800812436e-06
1744808840.101197,1525,6.259522706386633e-06
1744808855.8497267,1550,6.19603861196083e-06
1744809099.1939135,1575,6.132554517535027e-06
1744809114.1735847,1600,6.069070423109224e-06
1744809129.4483602,1625,6.005586783430772e-06
1744809144.7306993,1650,5.942102689004969e-06
1744809160.5908434,1675,5.878618594579166e-06
1744809176.5949948,1700,5.815134500153363e-06
1744809422.0598993,1725,5.75165040572756e-06
1744809437.838467,1750,5.6881667660491075e-06
1744809454.496447,1775,5.6246826716233045e-06
1744809471.179556,1800,5.5611985771975014e-06
1744809486.8454554,1825,5.497714482771698e-06
1744809729.554735,1850,5.434230388345895e-06
1744809745.3035781,1875,5.370746748667443e-06
1744809761.0999951,1900,5.30726265424164e-06
1744809776.9491532,1925,5.243778559815837e-06
1744809792.6956913,1950,5.180294465390034e-06
1744809808.5845404,1975,5.116810370964231e-06
1744810049.9595146,2000,5.053326731285779e-06
1744810064.5691438,2025,4.989842636859976e-06
1744810079.1890707,2050,4.926358542434173e-06
1744810093.795928,2075,4.86287444800837e-06
1744810108.460946,2100,4.799390353582567e-06
1744810123.0474434,2125,4.7359067139041144e-06
1744810363.5401967,2150,4.672422619478311e-06
