Wall time,Step,Value
1745005238.5494046,25,4.800000169780105e-06
1745005258.9701622,50,9.800000043469481e-06
1745005280.565098,75,9.93905541690765e-06
1745005302.1096382,100,9.875571777229197e-06
1745005323.6498187,125,9.812087228056043e-06
1745005883.8382478,150,9.748603588377591e-06
1745005899.0010219,175,9.685119039204437e-06
1745005914.2279847,200,9.621635399525985e-06
1745005929.6014836,225,9.558151759847533e-06
1745005944.9619772,250,9.497206519881729e-06
1745005960.5676856,275,9.433722880203277e-06
1745006202.040185,300,9.370238331030123e-06
1745006217.5604212,325,9.30675469135167e-06
1745006232.887256,350,9.243271051673219e-06
1745006248.1390197,375,9.179786502500065e-06
1745006263.5860524,400,9.116302862821613e-06
1745006280.3396444,425,9.052818313648459e-06
1745006521.079758,450,8.989334673970006e-06
1745006536.3942184,475,8.925851034291554e-06
1745006551.4976091,500,8.8623664851184e-06
1745006582.933777,525,8.798882845439948e-06
1745006598.3701248,550,8.735398296266794e-06
1745006836.2466426,575,8.671914656588342e-06
1745006852.158886,600,8.61097032611724e-06
1745006867.984499,625,8.547485776944086e-06
1745006883.4567518,650,8.484002137265634e-06
1745006898.7143412,675,8.42051758809248e-06
1745006914.0419018,700,8.357033948414028e-06
1745007150.7082012,725,8.293550308735576e-06
1745007166.3819914,750,8.230065759562422e-06
1745007181.8295355,775,8.16658211988397e-06
1745007197.0959182,800,8.103097570710815e-06
1745007212.987978,825,8.039613931032363e-06
1745007228.799565,850,7.976130291353911e-06
1745007467.163119,875,7.912645742180757e-06
1745007483.460328,900,7.849162102502305e-06
1745007499.3713498,925,7.785678462823853e-06
1745007515.7335663,950,7.722193913650699e-06
1745007532.4738324,975,7.658710273972247e-06
1745007771.2583992,1000,7.595226179546444e-06
1745007787.3365397,1025,7.531742085120641e-06
1745007803.0808065,1050,7.468257990694838e-06
1745007819.4128828,1075,7.404773896269035e-06
1745007835.366799,1100,7.3412898018432315e-06
1745007851.482642,1125,7.277806162164779e-06
1745008089.7334306,1150,7.214322067738976e-06
1745008105.4508307,1175,7.150837973313173e-06
1745008121.0483444,1200,7.08735387888737e-06
1745008136.8693118,1225,7.023869784461567e-06
