Wall time,Step,Value
1745142500.2042189,142,434.6734924316406
1745143081.5236251,284,410.5661926269531
1745143697.8557312,426,440.7782897949219
1745144295.0302882,568,445.0857849121094
1745144914.5804996,710,442.5465087890625
1745145523.6125052,852,433.9808044433594
1745146081.5506456,994,385.80230712890625
1745146715.0491555,1136,454.6234130859375
1745147197.833116,1278,338.7322998046875
1745147672.2920134,1420,332.24700927734375
1745148149.302966,1562,333.2496032714844
1745148695.6875908,1704,403.622314453125
1745149250.5065432,1846,412.5325927734375
1745149885.5871475,1988,456.00738525390625
1745150517.9312444,2130,454.0658874511719
1745151160.8391893,2272,466.3564147949219
1745151650.6126,2414,328.0881042480469
1745152159.3115573,2556,369.0841979980469
1745152778.4285736,2698,441.40020751953125
1745153399.983442,2840,443.9421081542969
1745154026.5922186,2982,442.6402893066406
1745154646.408658,3124,445.1955871582031
1745155266.2810683,3266,442.7815856933594
1745155883.878156,3408,443.72369384765625
1745156504.639391,3550,442.19580078125
1745157122.4353995,3692,443.2304992675781
1745157626.2476976,3834,330.4067077636719
1745158099.938741,3976,332.08349609375
