Wall time,Step,Value
1745005878.8727977,142,540.7526245117188
1745006191.6645494,284,225.6094970703125
1745006505.9152045,426,224.88119506835938
1745006831.8792763,568,222.20010375976562
1745007141.6283987,710,221.38180541992188
1745007451.78077,852,221.71060180664062
1745007767.3006277,994,222.42730712890625
1745008080.444631,1136,221.93899536132812
1745008391.8764956,1278,221.16119384765625
1745008703.9113145,1420,220.72560119628906
1745009017.6550586,1562,222.3616943359375
1745009327.6476264,1704,220.80819702148438
1745009645.2102373,1846,225.4945068359375
1745009967.558125,1988,228.85220336914062
1745010282.2599897,2130,223.543701171875
1745011031.1284406,2272,661.0421142578125
1745011576.1840494,2414,302.5931091308594
1745012746.4698756,2556,830.1353759765625
1745013450.9204764,2698,292.67718505859375
1745014311.7929852,2840,613.8450927734375
1745015131.1889567,2982,593.7489013671875
1745016162.371504,3124,777.88623046875
1745017280.3098996,3266,825.71337890625
1745017916.7337415,3408,223.24130249023438
1745018233.3756945,3550,228.14950561523438
1745018551.5801876,3692,230.83670043945312
1745018868.0403833,3834,228.83450317382812
1745019272.2478948,3976,285.17840576171875
