Wall time,Step,Value
1744826428.0536416,142,2.051696300506592
1744827064.2778413,284,1.958522915840149
1744827631.7747722,426,1.897879958152771
1744828146.5988693,568,1.8532055616378784
1744828725.8083608,710,1.8181912899017334
1744829332.7384186,852,1.7849805355072021
1744829838.6562169,994,1.7543785572052002
1744830343.3153322,1136,1.7358956336975098
1744830847.001533,1278,1.7229984998703003
1744831361.1462061,1420,1.7096363306045532
1744831877.8160608,1562,1.7022154331207275
1744832393.7697175,1704,1.692149043083191
1744832909.2188694,1846,1.6827839612960815
1744833422.6324255,1988,1.6720998287200928
1744833933.8682404,2130,1.6675301790237427
1744834444.179772,2272,1.6598669290542603
1744834950.3424525,2414,1.6564487218856812
1744835449.6347601,2556,1.648643970489502
1744835946.5247278,2698,1.646491527557373
1744836445.41807,2840,1.6415441036224365
1744836945.6159377,2982,1.6370893716812134
1744837441.122989,3124,1.6334660053253174
1744837944.2663507,3266,1.6315186023712158
1744838459.4189591,3408,1.6297532320022583
1744839269.7833393,3550,1.627509593963623
1744840545.580336,3692,1.6263127326965332
1744841401.7549024,3834,1.6256102323532104
1744841913.1997948,3976,1.6251652240753174
